Number in the App	Added Sugar List Name	Number in Added Sugar Repository	MonstersFamily	Description
18	Fructose	89	OSE Monsters	Fructose, or fruit sugar, is a simple ketonic monosaccharide found in many plants, where it is often bonded to glucose to form the disaccharide sucrose, and absorbed directly into blood during digestion.
19	Fructose Syrup	90	OSE Monsters	A sweetener made from cornstarch.
20	Glucose	93	OSE Monsters	Glucose is a simple sugar. It is the most abundant monosaccharide, a subcategory of carbohydrates. Glucose is mainly made by plants and algae during photosynthesis from water and carbon dioxide, using energy from sunlight.
21	Glucose Fructose Syrup	94	OSE Monsters	Glucose fructose syrup is a sweet liquid made of glucose and fructose. Unlike sucrose, where 50% of glucose and 50% of fructose are linked together, GFS can have a varying ratio of the two simple sugars, meaning that some extra, unbound glucose or fructose molecules are present. The fructose content in GFS can range from 5% to over 50%.
22	Glucose Solids	95	OSE Monsters	Glucose solids are easy-to-digest simple carbohydrates, most often made from corn, rice, wheat, or potato starch. To obtain glucose solids, a starch is cooked and then broken down into smaller glucose molecules.
23	Glucose Syrup	96	OSE Monsters	"Glucose syrup, also known as confectioner's glucose, is a syrup made from the hydrolysis of starch. ... Maize (corn) is commonly used as the source of the starch in the US, in which case the syrup is called "corn syrup", but glucose syrup is also made from potatoes and wheat, and less often from barley, rice and cassava."
24	Glucose Syrup Solids	97	OSE Monsters	Glucose syrup solids are easy-to-digest simple carbohydrates, most often made from corn, rice, wheat, or potato starch. To obtain glucose syrup solids, a starch is cooked and then broken down into smaller glucose molecules.
25	High Fructose Corn Syrup	106	OSE Monsters	High-fructose corn syrup, also known as glucose-fructose, isoglucose and glucose-fructose syrup, is a sweetener made from corn starch. As in the production of conventional corn syrup, the starch is broken down into glucose by enzymes.
26	High Maltose Corn Syrup Solids	107	OSE Monsters	"High-maltose corn syrup is a food additive used as a sweetener and preservative. The majority sugar is maltose. It is less sweet than high-fructose corn syrup and contains little to no fructose.To be given the label "high", the syrup must contain at least 50% maltose."
27	Lactose	121	OSE Monsters	"Lactose is a disaccharide; a sugar composed of galactose and glucose. Lactose makes up around 2-8% of milk. The name comes from lac, the Latin word for milk, plus the suffix -ose used to name sugars."
28	Maltose	131	OSE Monsters	Maltose, also known as maltobiose or malt sugar, is a disaccharide formed from two units of glucose. In the isomer, isomaltose, the two glucose molecules are joined with an Alpha bond. Maltose is the two-unit member of the amylose homologous series, the key structural motif of starch.
29	Organic Dextrose	167	OSE Monsters	Organic Dextrose is a sweetener that's derived from genetically engineered corn and has a long, complicated manufacturing process, just like erythritol.
30	Organic Glucose Syrup	177	OSE Monsters	Our Organic glucose syrup is produced like glucose by enzymatic decomposition from starch. Depending on the crop the starch is made from, it is also referred to as rice syrup, corn syrup, or wheat syrup. Most glucose syrup is liquid, but it can also be dried and packaged as a powder.
31	Organic Lactose	186	OSE Monsters	"Organic Lactose is a disaccharide; a sugar composed of galactose and glucose. Organic Lactose makes up around 2-8% of milk. The name comes from lac, the Latin word for milk, plus the suffix -ose used to name sugars."
32	Saccharose	236	OSE Monsters	Saccharose is another term for sucrose, or sugar.
33	Sucrose	239	OSE Monsters	Sucrose is common table sugar. It is a disaccharide, a molecule composed of two monosaccharides: glucose and fructose. Sucrose is produced naturally in plants, from which table sugar is refined.
34	Trehalose	251	OSE Monsters	Trehalose is a sugar consisting of two molecules of glucose. It is also known as mycose or tremalose.
35	Wheat Glucose Syrup	256	OSE Monsters	Wheat glucose syrup is a gluten-free sweetener made most frequently from corn, but also from tapioca, potato, and sorghum or wheat starch. It is such a highly processed and purified ingredient that the source of the starch does not matter and can be considered gluten-free.
36	Brown Cane Sugar	18	Cane Monsters	Brown cane sugar is extracted from the sugarcane plant and not refined, sometimes in the form of cane juice, this raw form of sugar still retains some of the molasses and moisture from the plant, with brown color due to the presence of molasses.
37	Cane Crystals	23	Cane Monsters	"A sugar company that makes evaporated cane juice, Florida Crystals, describes it as a natural sweetener with "dark golden hues" and a "sweet sugarcane flavor." But another sugar company that doesn't make the product says it's just another name for sugar."
38	Cane Juice	24	Cane Monsters	"The US Food and Drug Administration (FDA) defines cane juice as any sweetener derived from sugarcane syrup. The US FDA considers the term "cane juice" to be misleading because the term incorrectly suggests that it is a juice, when it is sugar syrup."
39	Cane Juice Crystals	25	Cane Monsters	"A sugar company that makes Cane juice crystals, Florida Crystals, describes it as a natural sweetener with "dark golden hues" and a "sweet sugarcane flavor." But another sugar company that doesn't make the product says it's just another name for sugar."
40	Cane Molasses	26	Cane Monsters	Cane molasses is an ingredient used in baking and cooking. It was popular in the Americas prior to the 20th century, when it was a common sweetener. To make molasses, sugar cane is harvested and stripped of leaves. Its juice is extracted, usually by cutting, crushing, or mashing. The juice is boiled to concentrate it, promoting sugar crystallization. The result of this first boiling is called first syrup, and it has the highest sugar content.
41	Cane Refinery Syrup	27	Cane Monsters	Cane refinery syrup is a pleasant tasting thick syrup with a rich unique flavor. It is a byproduct of the refining of cane sugar.
42	Cane Sugar	28	Cane Monsters	Cane sugar is extracted from the sugarcane plant and not refined, sometimes in the form of cane juice, this raw form of sugar still retains some of the molasses and moisture from the plant.
43	Cane Syrup	29	Cane Monsters	"Cane syrup is a traditional American sweetener made by the simple concentration of cane juice through long cooking in open kettles. The result is a dark, "caramel-flavored, burnt gold-colored syrup", "deep and slightly sulfurous" with a "lightly bitter backlash"."
44	Dark Brown Cane Sugar	54	Cane Monsters	Dark brown cane sugar is extracted from the sugarcane plant and not refined, sometimes in the form of cane juice, this raw form of sugar still retains some of the molasses and moisture from the plant, with brown color due to the presence of molasses.
45	Dehydrated Cane Juice	60	Cane Monsters	"The US Food and Drug Administration (FDA) defines Dehydrated cane juice as any sweetener derived from sugarcane syrup. The US FDA considers the term "Dehydrated cane juice" to be misleading because the term incorrectly suggests that it is a juice, when it is sugar syrup."
46	Dehydrated Cane Sugar	61	Cane Monsters	Dehydrated cane sugar is a evaporated natural sweetener made from sugar cane.
47	Dried Cane Sugar	70	Cane Monsters	Dried cane sugar is a dehydrated natural sweetener made from sugar cane.
48	Dried Cane Syrup	71	Cane Monsters	Dried cane syrup is - essentially - white sugar. The difference is that it has undergone significantly less processing, which results in a khaki-colored, large grain sugar that can be used in place of white sugar.
49	Evaporated Cane Crystals	78	Cane Monsters	"A sugar company that makes evaporated cane juice, Florida Crystals, describes it as a natural sweetener with "dark golden hues" and a "sweet sugarcane flavor." But another sugar company that doesn't make the product says it's just another name for sugar."
50	Evaporated Cane Juice	79	Cane Monsters	"The US Food and Drug Administration (FDA) defines evaporated cane juice as any sweetener derived from sugarcane syrup. The US FDA considers the term "evaporated cane juice" to be misleading because the term incorrectly suggests that it is a juice, when it is sugar."
51	Evaporated Cane Juice Invert Syrup	80	Cane Monsters	Evaporated cane juice invert syrup is an amber colored, natural liquid sweetener manufactured by dissolving evaporated cane juice in water and inverting a percentage of the sucrose. The end product is a highly soluble sweetener with a long shelf life.
52	Evaporated Cane Juice Syrup	81	Cane Monsters	"The US Food and Drug Administration (FDA) defines evaporated cane juice as any sweetener derived from sugarcane syrup. The US FDA considers the term "evaporated cane juice" to be misleading because the term incorrectly suggests that it is a juice, when it is sugar."
53	Evaporated Cane Sugar	82	Cane Monsters	Evaporated cane sugar is a dehydrated natural sweetener made from sugar cane.
54	Evaporated Cane Syrup	83	Cane Monsters	Evaporated cane juice is a completely natural sweetener made from sugar cane. Because it is not processed as much as table sugar, evaporated cane juice retains more of the nutrients from the sugar cane.
55	Fair Trade Unrefined Cane Sugar	85	Cane Monsters	Organic fair trade unrefined cane sugar are cane sugars that are a dark brown color, retain most or all of the original cane molasses, and have strong molasses flavor. Fair trade standards require safe working conditions for farmers, and prohibit child labor.
56	Invert Cane Sugar	112	Cane Monsters	Inverted cane sugar is an edible mixture of two simple sugars-glucose and fructose-that is made by heating cane sugar with water.
57	Invert Cane Syrup	113	Cane Monsters	Invert cane syrup is an edible mixture of two simple sugars-glucose and fructose-that is made by heating sucrose with water. It is thought to be sweeter than table sugar, and foods that contain it retain moisture and crystallize less easily.
58	Light Brown Cane Sugar	123	Cane Monsters	Light brown cane sugar is extracted from the sugarcane plant and not refined, sometimes in the form of cane juice, this raw form of sugar still retains some of the molasses and moisture from the plant, with brown color due to the presence of molasses.
59	Milled Cane Sugar	136	Cane Monsters	Milled sugar uses the sugar crystals from the first milled juice of sugar cane plants. Milled sugar still contains the natural vitamins and minerals, which are in the molasses in the natural juice.
60	Organic Cane Crystals	153	Cane Monsters	"A sugar company that makes Organic cane juice, Florida Crystals, describes it as a natural sweetener with "dark golden hues" and a "sweet sugarcane flavor." But another sugar company that doesn't make the product says it's just another name for sugar."
61	Organic Cane Sugar	154	Cane Monsters	No chemical additives or resins are used in a certified organic process. Cane sugar is extracted from the sugarcane plant and not refined, sometimes in the form of cane juice, this raw form of sugar still retains some of the molasses and moisture from the plant.
62	Organic Cane Syrup	155	Cane Monsters	"Organic cane syrup is a traditional American sweetener made by the simple concentration of cane juice through long cooking in open kettles. The result is a dark, "caramel-flavored, burnt syrup", "deep and slightly sulfurous" with a "lightly bitter backlash"."
63	Organic Dried Cane Sugar	168	Cane Monsters	No chemical additives or resins are used in the certified organic process. Dried cane sugar is a dehydrated natural sweetener made from sugar cane.
64	Organic Dried Cane Syrup	169	Cane Monsters	Organic dried cane syrup is a less processed variety of the sweet, white, crystalline sucrose most often used as an additive to foods to sweeten or add texture.
65	Organic Evaporated Cane Juice	172	Cane Monsters	No chemical additives or resins are used in the certified organic process. Organic evaporated cane juice is a relatively unrefined sweetener made from the stalks of the sugar cane plant.
66	Organic Evaporated Cane Juice Syrup	173	Cane Monsters	Organic evaporated cane juice syrup is a completely natural sweetener made from sugar cane. Because it is not processed as much as table sugar, evaporated cane juice retains more of the nutrients from the sugar cane.
67	Organic Fair Trade Unrefined Cane Sugar	175	Cane Monsters	Organic fair trade unrefined cane sugar are cane sugars that are a dark brown color, retain most or all of the original cane molasses, and have strong molasses flavor. No chemical additives or resins are used in the certified organic process. Fair trade standards require safe working conditions for farmers, and prohibit child labor.
68	Organic Invert Cane Sugar	180	Cane Monsters	No chemical additives or resins are used in the certified organic process. Inverted cane sugar is an edible mixture of two simple sugars-glucose and fructose-that is made by heating cane sugar with water.
69	Organic Invert Cane Syrup	181	Cane Monsters	Organic invert cane syrup is an edible mixture of two simple sugars-glucose and fructose-that is made by heating sucrose with water. It is thought to be sweeter than table sugar, and foods that contain it retain moisture and crystallize less easily.
70	Organic Milled Cane Sugar	191	Cane Monsters	No chemical additives or resins are used in a certified organic process. Milled sugar uses sugar crystals from the first milled juice of sugar cane plants. It still contains the natural vitamins and minerals, which are in the molasses in the natural juice.
71	Pure Cane Golden Brown Sugar	221	Cane Monsters	Golden brown sugar is made by mixing pure cane sugar and molasses.
72	Pure Cane Sugar	222	Cane Monsters	Pure cane sugar comes from the sugarcane plant without any genetic modification.
73	Raw Cane Sugar	228	Cane Monsters	Raw (cane) sugar, or turbinado (brown) sugar, is made from the juice of the sugar cane plant with brown coloring due to the presence of molasses, a byproduct of refining sugarcane that contains a number of essential minerals and vitamins.
74	Agave Syrup	2	Syrup Monsters	Date syrup is a whole food sweetener that contains plenty of fiber, minerals, and antioxidants. Date syrup is a significant source of simple carbohydrates and calorie.
75	Barley Malt Syrup	7	Syrup Monsters	Barley malt syrup is an unrefined sweetener processed by extraction from sprouted, i.e., malted, barley, containing approximately 65% maltose, 30% complex carbohydrate, 3% protein. Malt syrup is dark brown, thick, and sticky.
76	Beet Syrup	10	Syrup Monsters	Beet syrup is made from the juice of harvested beets, cooked and concentrated.
77	Brown Rice Syrup	19	Syrup Monsters	"Brown rice syrup is a sweetener that has replaced high fructose corn syrup in many so-called "healthy" or "natural" foods. It is made by cooking whole-grain rice, and then using enzymes to break down the starch into the sugars maltose, maltotriose, and a small amount of glucose."
78	Brown Rice Syrup Solids	20	Syrup Monsters	"Brown rice syrup solids is a sweetener that has replaced high fructose corn syrup in many so-called "healthy" or "natural" foods. It is made by cooking whole-grain rice, then using enzymes to break down the starch into the sugars maltose, maltotriose and a small amount of glucose."
79	Corn Barley Malt Syrup	45	Syrup Monsters	Corn barley malt syrup is an unrefined sweetener processed by extraction from sprouted, i.e., malted, barley, containing approximately 65% maltose, 30% complex carbohydrate, 3% protein. Malt syrup is dark brown, thick, and sticky.
80	Corn Syrup	49	Syrup Monsters	Corn syrup is a food syrup which is made from the starch of corn and contains varying amounts of maltose and higher oligosaccharides, depending on the grade. Corn syrup, also known as glucose syrup to confectioners, is used in foods to soften texture, add volume, prevent crystallization of sugar, and enhance flavor.
81	Corn Syrup Butter	50	Syrup Monsters	Corn syrup butter is a food syrup which is made from the starch of corn and contains varying amounts of maltose and higher oligosaccharides, depending on the grade.
82	Corn Syrup Solids	51	Syrup Monsters	Corn syrup solids provide energy for babies. Plus, they are easily digested even if the baby is sensitive to lactose or sucrose. Corn syrup solids are NOT the same as high-fructose corn syrup. High-fructose corn syrup has been processed such that some of the glucose has been converted to fructose.
83	Date Syrup	58	Syrup Monsters	Date syrup is a whole food sweetener that contains plenty of fiber, minerals, and antioxidants. Date syrup is a significant source of simple carbohydrates and calories, so it should be used with caution.
84	Dried Brown Rice Syrup	69	Syrup Monsters	"Brown rice syrup is a sweetener that has replaced high fructose corn syrup in many so-called "natural" foods. It is made by cooking whole-grain rice, and then using enzymes to break down the starch into the sugars maltose, maltotriose, and a small amount of glucose."
85	Dried Corn Syrup	73	Syrup Monsters	Dried corn syrup is 100% glucose, the smallest form of sugar. To make corn syrup solids, food manufacturers dehydrate the syrup until it's only 10% water. They use the dried product in powdered coffee creamers, drink mixes and baby formula.
86	Golden Syrup	101	Syrup Monsters	Golden syrup or light treacle is a thick, amber-colored form of inverted sugar syrup made form the process of refining sugar cane or sugar beet juice into sugar, or by treatment of a sugar solution with acid.
87	Invert Syrup	117	Syrup Monsters	Invert syrup is an edible mixture of two simple sugars-glucose and fructose-that is made by heating sucrose (table sugar) with water
88	Malt Syrup	128	Syrup Monsters	Malt syrup is an unrefined sweetener processed by extraction from sprouted, i.e., malted, barley, containing approximately 65% maltose, 30% complex carbohydrate, 3% protein. Malt syrup is dark brown, thick, and sticky.
89	Maple Syrup	134	Syrup Monsters	"Maple syrup is a syrup usually made from the xylem sap of sugar maple, red maple, or black maple trees; although, it can also be made from other maple species."
90	Oat Syrup Solids	144	Syrup Monsters	Organic oat syrup solids are a high-solids concentrate from the natural sugaring process of oats and water. It is high in fiber and is used as an alternative sweetener for sugar.
91	Organic Agave Syrup	147	Syrup Monsters	Organic agave syrup is a sweetener commercially produced from several species of agave, including agave tequilana and agave salmiana. Agave syrup contains fructose as a carbohydrate providing sweetening properties.
92	Organic Barley Malt Syrup	149	Syrup Monsters	Organic barley malt syrup - 20 oz. grain is transformed into wholesome sweetness through the process of traditional malting. This is a superior, traditionally malted, organically grown and produced sweetener. No chemical additives or resins are used in the certified organic process.
93	Organic Brown Rice Syrup	151	Syrup Monsters	"Organic brown rice syrup is a sweetener that has replaced high fructose corn syrup in many so-called "healthy" or "natural" foods. It is made by cooking whole-grain rice, then using enzymes to break down the starch into the sugars maltose, maltotriose, and a small amount of glucose."
94	Organic Coconut Syrup	162	Syrup Monsters	"Organic coconut syrup is a low-glycemic, organic sweetener crafted in small artisan batches from coconut flower blossom nectar. When the coconut tree is tapped, it produces a nutrient-rich "sap" exuding from the coconut blossoms."
95	Organic Corn Syrup Solids	163	Syrup Monsters	Organic corn syrup solids provide energy for babies. Plus, they are easily digested even if the baby is sensitive to lactose or sucrose. Organic Corn syrup solids are NOT the same as high-fructose corn syrup.
96	Organic Date Syrup	166	Syrup Monsters	Organic date syrup is a whole food sweetener that contains plenty of fiber, minerals, and antioxidants. Organic date syrup is a significant source of simple carbohydrates and calories, so it should be used with caution.
97	Organic Invert Syrup	185	Syrup Monsters	Organic invert syrup is an edible mixture of two simple sugars-glucose and fructose-that is made by heating sucrose with water. It is thought to be sweeter than table sugar, and foods that contain it retain moisture and crystallize less easily.
98	Organic Maple Syrup	190	Syrup Monsters	No chemical additives or resins are used in the certified organic process. Maple syrup is a syrup usually made from the xylem sap of sugar maple, red maple, or black maple trees, although it can also be made from other maple species.
99	Organic Raw Dark Agave Syrup	199	Syrup Monsters	No chemical additives or resins are used in the certified organic process. A sweetener comparable to honey and maple syrup. It is derived from the same succulent plant that is use in making tequila. Often a sweet additive in baked goods.
100	Organic Rice Syrup	202	Syrup Monsters	No chemical additives or resins are used in the certified organic process. Rice syrup is derived from cultured cooked rice starch with saccharifying enzymes to break down the starches, followed by straining off the liquid and reducing it by evaporative heating until the desired consistency is reached.
101	Organic Rice Syrup Solids	203	Syrup Monsters	Organic rice syrup solids are made from non-GMO rice. Organic rice syrup solids are produced by process of agglomeration, which increases particle size and lowers bulk density compared to standard products.
102	Organic Tapioca Syrup	208	Syrup Monsters	No chemical additives or resins are used in the certified organic process. Produced from tapioca starch using a natural fermentation process, tapioca syrup is a gluten-free and non-GMO alternative to corn syrup, sugar, honey, maple syrup and molasses.
103	Organic Tapioca Syrup Solids	209	Syrup Monsters	No chemical additives or resins are used in the certified organic process. Tapioca syrup solids are slightly sweet, white or off-white colored powder that are often used for bulking through balancing of water activity and solid adjustments.
104	Pear Syrup	215	Syrup Monsters	Pear syrup is made by straining the juice and setting it to boil with sugar, it is then cooled and thickens in the process.
105	Pineapple Syrup	217	Syrup Monsters	Pineapple syrup is made by straining the juice and setting it to boil with sugar, it is then cooled and thickens in the process.
106	Pure Maple Syrup	224	Syrup Monsters	The basic ingredient in maple syrup is the sap from the xylem of sugar maple or various other species of maple trees. It consists primarily of sucrose and water, with small amounts of the monosaccharides glucose and fructose from the invert sugar created in the boiling process.
107	Refiner's Syrup	231	Syrup Monsters	"Refiner's syrup (also called "golden syrup") is made, as the name implies, at a sugar refinery, not at the sugar mill which is where molasses is produced."
108	Refinery Syrup	232	Syrup Monsters	Refinery syrup is made, as the name implies, at a sugar refinery, not at the sugar mill which is where molasses is produced.
109	Rice Syrup	234	Syrup Monsters	Rice syrup is derived from cultured cooked rice starch with saccharifying enzymes to break down the starches, followed by straining off the liquid and reducing it by evaporative heating until the desired consistency is reached.
110	Rice Syrup Solids	235	Syrup Monsters	Rice syrup solids are sweet granulated powder additives.
111	Sorghum Syrup	237	Syrup Monsters	Rice syrup is made from a type of grass grown in tall stalks which are harvested, juiced, and boiled until enough moisture has evaporated to leave behind a thick, dark syrup. It is high in vitamins and minerals, including iron, calcium, phosphorus, and b-vitamins.
112	Syrup	244	Syrup Monsters	In cooking terms, a syrup is a condiment that is a thick, viscous liquid consisting primarily of a solution of sugar in water. It contains a large amount of dissolved sugars but shows little tendency to deposit crystals.
113	Tapioca Syrup	247	Syrup Monsters	Tapioca syrup is produced from tapioca starch using a natural fermentation process. Tapioca syrup is a gluten-free and non-GMO alternative to corn syrup, sugar, honey, maple syrup and molasses.
114	Tapioca Syrup Solids	248	Syrup Monsters	The tapioca syrup solids are produced from tapioca starch that is obtained using a natural enzymatic process.
115	Apple Juice Concentrate	4	Concentrate Monsters	Apple juice concentrate is made by squeezing juice from the apple and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
116	Beet Juice Concentrate	8	Concentrate Monsters	Made by squeezing juice from the beet and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
117	Black Currant Juice Concentrate	11	Concentrate Monsters	Made by squeezing juice from black currants and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
118	Blackberry Juice Concentrate	12	Concentrate Monsters	Made by squeezing juice from the blackberry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
119	Blackcurrant Juice Concentrate	13	Concentrate Monsters	Made by squeezing juice from blackcurrants and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
120	Blood Orange Juice Concentrate	15	Concentrate Monsters	Made by squeezing juice from the blood orange and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
121	Blueberry Juice Concentrate	16	Concentrate Monsters	Made by squeezing juice from the blueberry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
122	Boysenberry Juice Concentrate	17	Concentrate Monsters	Made by squeezing juice from the boysenberry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
123	Caramelized Pear Juice Concentrate	30	Concentrate Monsters	Caramelization is the oxidation of sugar that creates a browning reaction and delicious flavor. After squeezing juice from the pear and removing a large percentage of the water, usually by heat, it is then pasteurized.
124	Carrot Juice Concentrate	33	Concentrate Monsters	Made by squeezing juice from the carrot and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh. Concentrated carrot juice
125	Cherry Juice Concentrate	34	Concentrate Monsters	Made by squeezing juice from the cherry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
126	Clarified Guava Juice Concentrate	35	Concentrate Monsters	Clarified Guava Juice Concentrate is made by squeezing juice from the guava and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh. This product is Clarified, meaning much if not all of the pulp is removed.
127	Clarified Lime Juice Concentrate	36	Concentrate Monsters	Clarified Lime Juice Concentrate is made by squeezing juice from the lime and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh. This product is Clarified, meaning much if not all of the pulp is removed.
128	Concentrated Melon Juice	44	Concentrate Monsters	Made by squeezing juice from the melon and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
129	Cranberry Juice Concentrate	52	Concentrate Monsters	Made by squeezing juice from the cranberry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
130	Date Juice Concentrate	57	Concentrate Monsters	Made by obtaining juice from the date and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
131	Dried Cherry Juice Concentrate	72	Concentrate Monsters	Cherry juice is a fruit juice consisting of the juice of cherries. It is then dried and concentrated, removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
132	Dried Cranberry Juice Concentrate	74	Concentrate Monsters	Cranberry juice is a fruit juice consisting of the juice of cranberries. It is then dried and concentrated, removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
133	Elderberry Juice Concentrate	76	Concentrate Monsters	Made by squeezing juice from the Elderberry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
134	Fruit Juice Concentrate	91	Concentrate Monsters	Made by squeezing juice from fruit and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
135	Goji Berry Juice Concentrate	98	Concentrate Monsters	Made by squeezing juice from the goji berry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
136	Grape Juice Concentrate	103	Concentrate Monsters	Made by squeezing juice from the grape and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
137	Grapefruit Juice Concentrate	105	Concentrate Monsters	Made by squeezing juice from the grapefruit and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
138	Honeydew Juice Concentrate	110	Concentrate Monsters	Made by squeezing juice from the honeydew and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
139	Key Lime Juice Concentrate	119	Concentrate Monsters	Made by squeezing juice from the key lime and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
140	Kiwi Juice Concentrate	120	Concentrate Monsters	Made by squeezing juice from the kiwi and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
141	Lemon Juice Concentrate	122	Concentrate Monsters	Made by squeezing juice from the lemon and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
142	Loganberry Juice Concentrate	126	Concentrate Monsters	Made by squeezing juice from the loganberry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
143	Mango Juice Concentrate	132	Concentrate Monsters	Made by squeezing juice from the mango and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
144	Melon Juice Concentrate	135	Concentrate Monsters	Made by squeezing juice from the melon and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
