Added Sugar List Name,Number in Added Sugar Repository,MonstersFamily,Where it's hidden,Description ,Wiki (if it has)
Organic tapioca syrup,193,Syrup Monster,In some Honey Almonds Glazed Mixes,,
Organic Tapioca Syrup Solids,194,Syrup Monster,In Some Citrus Organic Flavor Fruit Snacks,,
Pineapple syrup,202,Syrup Monster,In some Dark Chocolate Pomegranate Chewy Snack Bars,,
Sorghum syrup,225,Syrup Monster,In some Caramel Chocolate Arrangements,,
Apple juice concentrate,4,Juice Concentrate Monster,Blueberry Crisp Bars,,
Organic apple juice concentrate,137,Juice Concentrate Monster,In some Honey Nut Flavor Cereals,,
Orange juice concentrate,133,Juice Concentrate Monster,In some Antioxidant drinks,,
Blood orange juice concentrate,15,Juice Concentrate Monster,In some Blood Orange Yogurts,,
Tangerine juice concentrate,234,Juice Concentrate Monster,in some Natural Jelly Beans,,
Pear juice concentrate,200,Juice Concentrate Monster,In some Strawberry Flavor Cereal Bars,,
Caramelized pear juice concentrate,30,Juice Concentrate Monster,Bakery on Main Extreme Nut & Fruit Granola),,
Peach juice concentrate,199,Juice Concentrate Monster,Bai Antioxidant Infusion Panama Peach),,
Grape juice concentrate,95,Juice Concentrate Monster,Hi-Chew Grapefruit Sours),,
Organic grape juice concentrate,165,Juice Concentrate Monster,Wholesome Surf Sweets Organic Watermelon Rings),,
Organic white grape juice concentrate,195,Juice Concentrate Monster,Whole Foods Sunny Citrus Organic Bunny Fruit Snacks),,
Cherry juice concentrate,34,Juice Concentrate Monster,Chobani Black Cherry on the Bottom Yogurt),,
Organic cherry juice concentrate,145,Juice Concentrate Monster,Clif Bar Fruit Smoothie Filled Tart Cherry Berry),,
Red cherry juice concentrate,219,Juice Concentrate Monster,Dreyer’s Oregon Black Cherry Ice Cream),,
Tart cherry juice concentrate,237,Juice Concentrate Monster,Kevita Master Brew Kombucha Tart Cherry),,
Organic dried cherry juice concentrate,156,Juice Concentrate Monster,Clif Bar Fruit Smoothie Filled Tart Cherry Berry),,
Strawberry juice concentrate,226,Juice Concentrate Monster,Bai Antioxidant Infusion Sao Paulo Strawberry),,
Organic strawberry juice concentrate,189,Juice Concentrate Monster,Stonyfield YoKids Whole Milk Tubes Strawberry),,
Raspberry juice concentrate,216,Juice Concentrate Monster,Turkey Hill Raspberry Cream Swirl Ice Cream),,
Blueberry juice concentrate,16,Juice Concentrate Monster,Oakhurst Wild Blueberry Milk),,
Organic blueberry juice concentrate,139,Juice Concentrate Monster,Stonyfield Organic Kids Blueberry and Lemonade Yogurt),,
Blackberry juice concentrate,12,Juice Concentrate Monster,Yogurtland Black Currant Berry Tart Yogurt),,
Marion blackberry juice concentrate,125,Juice Concentrate Monster,Shane Candies Chocolate Covered Blackberries & Raspberries),,
Black currant juice concentrate,13,Juice Concentrate Monster,Lindt Blackberry with Acai Excellence Bar),,
Boysenberry juice concentrate,17,Juice Concentrate Monster,Edy’s Sherbet Berry Rainbow),,
Cranberry juice concentrate,49,Juice Concentrate Monster,Brookside Dark Chocolate Fruit Flavored Centers Acaí and Blueberry Flavors),,
Organic dried cranberry juice concentrate,157,Juice Concentrate Monster,Spun Paradise Organic Cotton Candy Watermelon),,
Loganberry juice concentrate,114,Juice Concentrate Monster,Crystal Beach Original Loganberry Drink),,
Date juice concentrate,57,Juice Concentrate Monster,Shields’ Famous Date Shake),,
Goji berry juice concentrate,91,Juice Concentrate Monster,Brookside Dark Chocolate Fruit Flavored Centers Goji and Raspberry Flavors),,
Raisin juice concentrate,213,Juice Concentrate Monster,New Yorker Bagels Kettle Boiled Wheat Bagel),,
Organic raisin juice concentrate,185,Juice Concentrate Monster,Cascadian Farm Sweet & Salty Peanut Pretzel Granola Bars),,
Plum juice concentrate,204,Juice Concentrate Monster,Special K Dark Chocolate Pomegranate Chewy Snack Bar),,
Pomegranate juice concentrate,206,Juice Concentrate Monster,Bai Antioxidant Infusion Ipanema Pomegranate),,
Guava juice concentrate,97,Juice Concentrate Monster,Nestlé Vitality Passion Fruit Orange Guava Cocktail),,
Grapefruit juice concentrate,94,Juice Concentrate Monster,Olbas Herbal Tea),,
Pink grapefruit juice concentrate,203,Juice Concentrate Monster,Wegmans Pink Grapefruit Sorbet),,
Pineapple juice concentrate,201,Juice Concentrate Monster,Gerber 2nd Foods Hawaiian Delight),,
Organic pineapple juice concentrate,182,Juice Concentrate Monster,french bread chocolate The Orange + Olive Oil + Fennel Truffle),,
Honeydew juice concentrate,101,Juice Concentrate Monster,TGI Fridays Chicken Wings Honey BBQ),,
Watermelon juice concentrate,243,Juice Concentrate Monster,Bai Antioxidant Infusion Kula Watermelon),,
Melon juice concentrate,126,Juice Concentrate Monster,Hi-Chew Tropical Mix Bag),,
Kiwi juice concentrate,109,Juice Concentrate Monster,Snapple Kiwi Strawberry),,
Mango juice concentrate,120,Juice Concentrate Monster,Bai Antioxidant Infusion Malawi Mango),,
Mangosteen juice concentrate,121,Juice Concentrate Monster,Bruce Tea Super Power Tea Honeydew),,
Passion fruit juice concentrate,198,Juice Concentrate Monster,Hawaii’s Own Pineapple Starfuit Juice),,
Fruit juice concentrate,84,Juice Concentrate Monster,Amande Cultured Almondmilk Plain Yogurt),,
Organic fruit juice concentrate,163,Juice Concentrate Monster,Stonyfield Kids Low Fat Pouches Blueberry),,
Beet juice concentrate,9,Juice Concentrate Monster,Yoplait Cherry Orchard),,
